"Tabela 4711 - Domicílios recenseados, por espécie"
"Variável - Domicílios recenseados (Domicílios)"
"Município";"Ano x Espécie"
"Abel Figueiredo (PA)";"2583"
"Acará (PA)";"21771"
"Afuá (PA)";"11041"
"Água Azul do Norte (PA)";"6694"
"Alenquer (PA)";"21957"
"Almeirim (PA)";"12665"
"Altamira (PA)";"54274"
"Anajás (PA)";"7665"
"Ananindeua (PA)";"187386"
"Anapu (PA)";"13000"
"Augusto Corrêa (PA)";"13983"
"Aurora do Pará (PA)";"8261"
"Aveiro (PA)";"6499"
"Bagre (PA)";"6489"
"Baião (PA)";"13603"
"Bannach (PA)";"1894"
"Barcarena (PA)";"48232"
"Belém (PA)";"528989"
"Belterra (PA)";"7597"
"Benevides (PA)";"26334"
"Bom Jesus do Tocantins (PA)";"5813"
"Bonito (PA)";"5312"
"Bragança (PA)";"44053"
"Brasil Novo (PA)";"8945"
"Brejo Grande do Araguaia (PA)";"2963"
"Breu Branco (PA)";"16756"
"Breves (PA)";"28115"
"Bujaru (PA)";"8916"
"Cachoeira do Piriá (PA)";"7239"
"Cachoeira do Arari (PA)";"7320"
"Cametá (PA)";"39905"
"Canaã dos Carajás (PA)";"28605"
"Capanema (PA)";"27668"
"Capitão Poço (PA)";"23019"
"Castanhal (PA)";"80009"
"Chaves (PA)";"5818"
"Colares (PA)";"5678"
"Conceição do Araguaia (PA)";"19636"
"Concórdia do Pará (PA)";"9660"
"Cumaru do Norte (PA)";"5101"
"Curionópolis (PA)";"9067"
"Curralinho (PA)";"9649"
"Curuá (PA)";"5183"
"Curuçá (PA)";"15589"
"Dom Eliseu (PA)";"16018"
"Eldorado do Carajás (PA)";"12326"
"Faro (PA)";"2667"
"Floresta do Araguaia (PA)";"8732"
"Garrafão do Norte (PA)";"9944"
"Goianésia do Pará (PA)";"10964"
"Gurupá (PA)";"8645"
"Igarapé-Açu (PA)";"14608"
"Igarapé-Miri (PA)";"19842"
"Inhangapi (PA)";"4068"
"Ipixuna do Pará (PA)";"11017"
"Irituia (PA)";"11840"
"Itaituba (PA)";"46002"
"Itupiranga (PA)";"17966"
"Jacareacanga (PA)";"6871"
"Jacundá (PA)";"15759"
"Juruti (PA)";"16369"
"Limoeiro do Ajuru (PA)";"8284"
"Mãe do Rio (PA)";"11584"
"Magalhães Barata (PA)";"3320"
"Marabá (PA)";"106660"
"Maracanã (PA)";"10466"
"Marapanim (PA)";"14439"
"Marituba (PA)";"45933"
"Medicilândia (PA)";"12394"
"Melgaço (PA)";"6244"
"Mocajuba (PA)";"8411"
"Moju (PA)";"30029"
"Mojuí dos Campos (PA)";"9912"
"Monte Alegre (PA)";"24608"
"Muaná (PA)";"12700"
"Nova Esperança do Piriá (PA)";"7914"
"Nova Ipixuna (PA)";"6156"
"Nova Timboteua (PA)";"5741"
"Novo Progresso (PA)";"13888"
"Novo Repartimento (PA)";"26251"
"Óbidos (PA)";"19117"
"Oeiras do Pará (PA)";"9863"
"Oriximiná (PA)";"22520"
"Ourém (PA)";"7077"
"Ourilândia do Norte (PA)";"13444"
"Pacajá (PA)";"17538"
"Palestina do Pará (PA)";"2951"
"Paragominas (PA)";"38234"
"Parauapebas (PA)";"104820"
"Pau D'Arco (PA)";"3222"
"Peixe-Boi (PA)";"3950"
"Piçarra (PA)";"5452"
"Placas (PA)";"8166"
"Ponta de Pedras (PA)";"9505"
"Portel (PA)";"15318"
"Porto de Moz (PA)";"10520"
"Prainha (PA)";"12611"
"Primavera (PA)";"4346"
"Quatipuru (PA)";"4439"
"Redenção (PA)";"34459"
"Rio Maria (PA)";"8205"
"Rondon do Pará (PA)";"16425"
"Rurópolis (PA)";"11791"
"Salinópolis (PA)";"25145"
"Salvaterra (PA)";"10152"
"Santa Bárbara do Pará (PA)";"9475"
"Santa Cruz do Arari (PA)";"2059"
"Santa Izabel do Pará (PA)";"26281"
"Santa Luzia do Pará (PA)";"7917"
"Santa Maria das Barreiras (PA)";"7988"
"Santa Maria do Pará (PA)";"10335"
"Santana do Araguaia (PA)";"13964"
"Santarém (PA)";"118573"
"Santarém Novo (PA)";"2552"
"Santo Antônio do Tauá (PA)";"12648"
"São Caetano de Odivelas (PA)";"6582"
"São Domingos do Araguaia (PA)";"8531"
"São Domingos do Capim (PA)";"10085"
"São Félix do Xingu (PA)";"26484"
"São Francisco do Pará (PA)";"6935"
"São Geraldo do Araguaia (PA)";"9887"
"São João da Ponta (PA)";"2521"
"São João de Pirabas (PA)";"8748"
"São João do Araguaia (PA)";"6042"
"São Miguel do Guamá (PA)";"19551"
"São Sebastião da Boa Vista (PA)";"7825"
"Sapucaia (PA)";"2117"
"Senador José Porfírio (PA)";"8991"
"Soure (PA)";"9360"
"Tailândia (PA)";"24962"
"Terra Alta (PA)";"4759"
"Terra Santa (PA)";"6421"
"Tomé-Açu (PA)";"24276"
"Tracuateua (PA)";"10705"
"Trairão (PA)";"5936"
"Tucumã (PA)";"14743"
"Tucuruí (PA)";"34412"
"Ulianópolis (PA)";"10653"
"Uruará (PA)";"19612"
"Vigia (PA)";"19269"
"Viseu (PA)";"19279"
"Vitória do Xingu (PA)";"7282"
"Xinguara (PA)";"20962"
"Serra do Navio (AP)";"1850"
"Amapá (AP)";"2579"
"Pedra Branca do Amapari (AP)";"4777"
"Calçoene (AP)";"3965"
"Cutias (AP)";"1514"
"Ferreira Gomes (AP)";"2764"
"Itaubal (AP)";"2032"
"Laranjal do Jari (AP)";"13655"
"Macapá (AP)";"149531"
"Mazagão (AP)";"7572"
"Oiapoque (AP)";"9646"
"Porto Grande (AP)";"7881"
"Pracuúba (AP)";"1324"
"Santana (AP)";"34703"
"Tartarugalzinho (AP)";"4235"
"Vitória do Jari (AP)";"4054"
"Abreulândia (TO)";"1302"
"Aguiarnópolis (TO)";"1825"
"Aliança do Tocantins (TO)";"2549"
"Almas (TO)";"2993"
"Alvorada (TO)";"3709"
"Ananás (TO)";"4030"
"Angico (TO)";"1163"
"Aparecida do Rio Negro (TO)";"2283"
"Aragominas (TO)";"2253"
"Araguacema (TO)";"2983"
"Araguaçu (TO)";"4313"
"Araguaína (TO)";"72039"
"Araguanã (TO)";"1940"
"Araguatins (TO)";"13313"
"Arapoema (TO)";"2419"
"Arraias (TO)";"5513"
"Augustinópolis (TO)";"6806"
"Aurora do Tocantins (TO)";"1804"
"Axixá do Tocantins (TO)";"3376"
"Babaçulândia (TO)";"3810"
"Bandeirantes do Tocantins (TO)";"1462"
"Barra do Ouro (TO)";"1939"
"Barrolândia (TO)";"2227"
"Bernardo Sayão (TO)";"2091"
"Bom Jesus do Tocantins (TO)";"1725"
"Brasilândia do Tocantins (TO)";"879"
"Brejinho de Nazaré (TO)";"2347"
"Buriti do Tocantins (TO)";"3004"
"Cachoeirinha (TO)";"790"
"Campos Lindos (TO)";"3033"
"Cariri do Tocantins (TO)";"1642"
"Carmolândia (TO)";"900"
"Carrasco Bonito (TO)";"1345"
"Caseara (TO)";"2115"
"Centenário (TO)";"1071"
"Chapada de Areia (TO)";"916"
"Chapada da Natividade (TO)";"1369"
"Colinas do Tocantins (TO)";"13464"
"Combinado (TO)";"2180"
"Conceição do Tocantins (TO)";"1833"
"Couto Magalhães (TO)";"2549"
"Cristalândia (TO)";"2987"
"Crixás do Tocantins (TO)";"680"
